,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
76,601018,宁波港,0.14,0.1,3.93,137689.4,17.19,29.7786,8007.531,0.6078,3.1971,56.301,32.7466,5.4968,0.6711,268.2164,-4.4826,16.5533,9.7749,23.2034,11.1111,8.829,0.7539,0.7431,26.6336,1085.2743,61.7088,38.2912,0.0447,0.0059,0.24100000000000002,0.0154,2.2739,1,0,0
77,601021,春秋航空,0.09,0.69,7.33,55397.08,10.93,9.1781,5065.2386,6.3269,41.8148,4.3047,58.5868,3.0724,0.7759,231.9887,28.1229,-25.154,8.963,1.9006,-25.8065,8.963,1.4648,1.4441,102.5062,757.6676,39.2606,60.7394,0.1437,0.0369,1.3138,0.0607,16.882,0,0,0
80,601117,中国化学,0.11,0.17,3.04,84761.29,3.39,13.7584,24944.0946,5.0565,1.7818,101.0214,1.1562,155.6824,0.3655,492.4761,0.491,11.7706,4.7284,4.4165,0.0,4.6482,1.4464,1.0465,41.0424,569.3972,34.836,65.164,-0.0571,-0.0168,-1.5190000000000001,-0.0257,-2.9992,1,0,0
81,601155,新城控股,0.23,0.51,7.44,113922.94,10.05,36.227,11327.9372,5.0157,384.0151,0.4687,0.1443,1247.4012,0.1204,1495.0166,24.8729,33.254,20.1625,70.96300000000001,13.3333,20.7192,1.1033,0.484,20.6042,709.0192,12.0827,87.9173,-0.6587,-0.0534,-6.507999999999999,-0.0607,-7.6207,1,0,0
84,601186,中国铁建,0.53,0.48,5.16,652303.9,2.25,8.8423,288960.909,21.2791,2.1151,85.1024,0.9391,191.6729,0.4615,390.0325,8.3357,11.6216,8.5442,10.1281,11.6279,9.9606,1.2505,0.6747,23.4856,759.4751,19.0486,80.9514,-0.0881,-0.0316,-3.6789,-0.039,-4.9656,1,0,0
87,601225,陕西煤业,0.32,0.55,14.6,547280.71,21.38,54.451,25585.9517,2.5585,4.6959,38.3313,11.8929,15.1351,0.98,183.6735,108.4523,1387.2934,29.1202,14.3623,2091.2351,24.8516,0.9271,0.8917,37.0142,6661.709,52.6633,47.3367,0.2259,0.0581,0.7189,0.1227,18.616,-1,0,0
89,601238,广汽集团,0.1,0.96,13.1,618260.24,17.83,22.6377,34658.0482,5.3316,27.2678,6.6012,9.0077,19.9829,0.9356,192.3899,61.7335,54.405,18.267,13.7729,54.8387,18.5245,1.5125,1.3787,94.0756,5411.5676,56.5203,43.4797,0.1227,0.0475,0.6859,0.1092,16.438,0,0,0
92,601333,广深铁路,0.11,0.07,1.8,50871.57,6.04,9.6025,8411.9825,1.1875,2.5199,71.4314,22.8973,7.8612,1.5327,117.4398,4.1267,-25.5204,1.4963,2.4316,-30.0,1.5174,1.3251,1.2449,36.534,-15163.8531,86.646,13.354000000000001,0.1478,0.0385,2.4555,0.2884,30.0481,-1,0,0
94,601360,三六零,0.09,0.07,1.55,2613.09,2.58,28.9389,1010.1587,2.5433,1.2203,147.5047,2.6026,69.1616,0.5379999999999999,334.5725,-10.827,-70.9776,1.719,-0.3187,-70.9877,1.8433,1.8593,1.5913,51.7689,-17840.9756,63.5062,36.4938,0.0395,0.0149,1.4856,0.0407,4.0841,0,0,0
97,601600,中国铝业,0.25,0.05,1.98,75131.3,0.82,7.0058,91310.57,6.1266,20.25,8.8889,4.4497,40.4522,1.4249,126.3247,83.7039,259.4245,2.5098,1.2123,24900.0,-4.6901,0.6409,0.4305,21.1119,176.2398,27.7269,72.2731,0.0587,0.0285,4.3105,0.0395,5.5613,-1,-1,-1
