,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
191,002601,龙蟒佰利,0.08,0.96,14.91,192073.62,25.42,45.8917,7553.39,3.717,7.4981,36.0091,2.8572,94.4981,1.3775,196.0073,271.7095,1481.661,7.2029,-17.8092,433.3333,8.2213,1.2016,0.9042,28.5999,2103.6931,67.0729,32.9271,0.1605,0.0593,0.6089,0.18,22.8149,0,0,1
192,002602,世纪华通,0.1,0.7,15.08,71468.1,29.03,30.3093,2461.0928,2.3961,3.8865,69.4712,3.9429,68.4775,1.1204,240.9854,-3.1806,80.7105,19.4398,16.5832,84.2105,19.2711,2.101,1.7107,65.2056,7773.6954,81.1689,18.8311,0.0348,0.0136,0.1198,0.0721,7.3194,0,0,0
193,002624,完美世界,0.12,0.82,14.14,107823.55,19.51,57.361000000000004,5524.2682,4.2019,3.0767,87.7564,2.3827,113.3168,0.5177,521.5376,55.9566,55.665,5.7589,26.0748,34.4262,12.0948,2.0288,1.7323,47.4894,712.8456,50.6433,49.3567,0.0376,0.0125,0.2007,0.0253,4.1615,0,0,0
194,002625,光启技术,0.05,0.06,1.09,7342.48,28.96,33.5074,253.5015,0.1999,1.9763,136.6189,4.169,64.7637,0.0682,3958.9443,-14.4123,95.8926,1234.8428,989.4456,-53.8462,1234.8428,65.5207,65.0935,5678.8834,-32.7996,98.4075,1.5925,0.1347,0.0045,0.4651,0.2808,31.1185,1,1,1
197,002773,康弘药业,0.05,0.62,13.54,41566.59,19.79,90.4766,2099.4453,3.1105,12.5831,21.4574,1.3181,204.8403,0.6594,409.4631,14.6886,33.1383,19.1572,22.3254,33.8226,20.2316,5.5148,5.2681,383.0095,-2042.9833,74.7549,25.2451,0.2411,0.1141,1.2177,0.4518,79.9405,0,0,-1
200,300003,乐普医疗,0.24,0.42,12.65,73825.01,22.43,66.2726,3290.3502,1.8467,2.3667,114.0829,1.7530000000000001,154.0217,0.7727,349.4241,30.3356,36.9559,31.2219,32.2493,32.3661,30.5191,1.6738,1.409,66.2025,1528.5395,61.2563,38.7437,0.1881,0.0562,0.7642,0.1451,23.6818,0,0,-1
201,300015,爱尔眼科,0.27,0.42,20.87,63269.29,14.43,48.4566,4382.4041,2.8802,11.2816,23.9328,9.2027,29.3392,2.3608,114.368,42.1581,45.1281,32.2306,81.0235,-11.3075,27.7727,1.3161,1.139,58.5565,2120.1113,52.0733,47.9267,0.1733,0.10800000000000001,1.0936,0.2253,47.349,0,0,-1
202,300017,网宿科技,0.12,0.24,7.63,57234.64,15.07,34.5918,3797.2195,1.5748,3.4136,79.0954,9.8819,27.3227,0.5734,470.8755,17.8386,-38.4437,11.4059,18.5696,-80.1735,11.4137,4.2471,4.0760000000000005,228.4398,-1024.3879,80.8965,19.1035,0.156,0.0617,1.0518,0.3229,40.3235,0,1,1
203,300024,机器人,0.15,0.18,4.8,27371.33,16.32,32.4305,1676.9909,1.0748,1.8072,149.4024,0.5667,476.4426,0.2992,902.4064,34.6075,8.5194,7.4801,15.8864,12.5,7.4882,3.7549,2.3099,67.0048,-3188.5294,72.3816,27.6184,-0.28800000000000003,-0.0596,-1.7444,-0.2159,-30.3345,0,0,1
205,300059,东方财富,0.47,0.11,3.51,45758.62,59.67,57.3628,766.7919,0.1787,2.5751,104.8503,2.3645,114.189,0.0291,9278.3505,-17.9931,-20.5792,4.7033,45.1928,-36.0812,4.8591,1.4523,1.4457,54.4848,-1802.3646,36.3542,63.6458,-2.8265,-0.0594,-4.7507,-0.0933,-10.1318,0,0,1
206,300070,碧水源,0.16,0.24,4.64,74110.16,13.7,25.9942,5405.8908,1.725,1.3713,196.8935,4.125,65.4545,0.3848,701.6632,68.6711,79.5482,19.0926,64.0501,69.2857,13.4645,0.9921,0.8740000000000001,35.8235,505.3947,48.8343,51.1657,-0.4084,-0.0608,-2.8975,-0.1187,-17.2679,0,0,1
207,300072,三聚环保,0.12,1.12,27.46,199490.34,11.64,18.7334,17136.2064,9.4775,2.1488,125.6515,12.9653,20.8248,0.9444,285.8958,66.4781,68.4731,62.8622,42.9134,8.7379,40.8601,2.1023,1.9556,45.9902,644.5111,42.5453,57.4547,-0.1592,-0.1173,-1.3494,-0.2041,-28.7791,0,0,-1
208,300122,智飞生物,0.2,0.18,10.74,28523.48,37.08,87.978,769.0548,0.4806,1.8231,148.0994,0.4155,649.8195,0.5214,517.8366,181.4643,4118.6621,11.821,33.2731,4145.2381,11.821,2.8697,2.3304,133.0202,-4814.9839,79.5839,20.4161,0.1425,0.0313,0.3843,0.1531,17.3601,0,0,0
209,300124,汇川技术,0.21,0.44,14.67,72319.69,23.1,45.2729,3129.6244,1.8795,2.5637,105.3165,1.8176,148.5475,0.4697,574.835,27.5711,3.8668,14.8584,37.5723,2.3256,14.6212,2.1502,1.7987,42.1171,-6082.4841,61.6035,38.3965,0.0972,0.0348,0.4081,0.0906,9.4316,0,0,-1
210,300136,信维通信,0.18,0.73,31.58,71496.57,28.8,37.3976,2482.0986,2.5254,1.9369999999999998,139.3908,6.7463,40.0219,0.9362,288.3999,64.9443,108.0632,49.1529,76.0998,102.6818,48.7581,1.5529,1.4354,37.536,1557.7831,54.2097,45.7903,0.1972,0.1022,0.6874,0.2232,23.3622,0,0,-1
211,300144,宋城演艺,0.17,0.63,13.52,91790.85,39.66,66.0486,2314.326,1.5932,85.4934,3.1581,156.2984,1.7275,1.1589,232.9795,17.6016,19.2221,15.2329,11.4033,19.8174,14.818,2.521,2.5147,152.0855,13280.5911,87.399,12.600999999999999,0.5845,0.1609,1.4617,1.2769,158.2367,0,0,1
212,300251,光线传媒,0.07,0.21,8.81,62837.58,40.55,36.1121,1549.2620000000002,0.5281,2.4406,110.6285,1.4402,187.47400000000002,0.4854,556.2423,30.5177,10.1986,5.1447,2.0961,7.1,6.1408,5.0807,3.5989,155.19,3430.8892,80.9247,19.0753,0.0132,0.0022,0.0319,0.0117,3.3304,0,0,-1
213,300296,利亚德,0.13,0.39,13.3,63354.94,14.78,38.9221,4285.9774,2.6311,2.3282,115.9694,1.0861,248.5959,0.6891,391.8154,52.343,107.6924,21.4472,43.2671,-2.5,22.1866,1.3396,0.8184,35.5244,475.1935,42.6933,57.3067,0.0425,0.0155,0.2928,0.0271,3.3385,0,0,1
214,300408,三环集团,0.19,0.41,13.18,69942.86,33.11,47.3202,2112.3074,1.2224,2.3152,116.6206,2.2071,122.3325,0.4647,581.02,-1.2352,-8.8413,14.4957,21.8132,-8.8889,14.3268,8.3952,7.2808,91.1291,4872.0332,82.9808,17.0192,0.3444,0.1087,1.037,0.6388,134.747,0,1,1
