,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
190,002468,申通快递,0.05,0.97,24.05,148783.62,11.75,18.4519,12657.2414,8.2683,18.5348,19.4229,331.6506,1.0855,2.0954,171.8049,28.101,17.8464,24.5069,10.6044,-21.1382,24.0924,2.9168,2.9007,161.6193,-2202.4615,76.9221,23.0779,0.1658,0.2382,1.4103,1.032,104.5418,0,0,0
191,002475,立讯精密,0.37,0.53,14.09,169056.81,7.4,20.0025,22826.0998,7.1939,3.8685,93.0593,6.5269,55.1564,1.4303,251.6954,65.8561,47.8575,14.7981,28.3041,-11.6667,14.9857,1.4833,1.1867,34.2245,1103.2037,51.7926,48.2074,0.0074,0.0063,0.0966,0.013000000000000001,1.4416,-1,0,0
192,002493,荣盛石化,0.14,0.52,14.09,200123.85,2.83,5.4112,70531.3534,18.483,133.3159,2.7004,19.7157,18.2596,4.3282,83.1755,55.0103,5.8006,74.1941,52.68600000000001,-31.5789,12.5288,0.607,0.4677,26.3988,653.1316,41.4897,58.5103,0.0572,0.065,1.9477,0.1111,13.0361,1,0,0
193,002508,老板电器,0.1,1.54,31.66,146121.35,20.82,53.6782,7017.3971,7.3942,19.9709,18.0262,3.2067,112.2649,1.1607,310.1577,21.0961,21.0786,27.4463,23.5599,-7.7844,27.4247,2.5776,2.1492,99.4018,-1742.275,66.3268,33.6732,0.179,0.1585,0.8597,0.4706,48.3605,1,1,1
195,002572,索菲亚,0.12,0.98,21.98,90677.09,14.71,38.1671,6161.4441,6.6723,35.8881,10.0312,13.7167,26.2454,1.8187,197.9436,36.0153,41.8948,23.1194,32.2541,-33.7838,14.9933,1.9846,1.8265,99.8673,11915.3798,69.6148,30.3852,0.2017,0.17600000000000002,1.3738,0.5793,68.4663,1,0,0
196,002594,比亚迪,0.49,1.4,7.76,406647.8,3.83,19.0146,105914.70199999999,38.823,2.262,159.1512,4.6052,78.1725,1.1708,307.4821,2.3627,-10.2751,8.2082,22.7673,-25.5319,7.3128,0.978,0.7887,10.66,342.8551,33.6652,66.3348,0.0601,0.0358,1.2951,0.0539,6.0648,1,0,0
197,002601,龙蟒佰利,0.08,1.25,19.14,250241.4,24.39,45.1213,10257.5095,5.0477,10.1454,35.4841,3.9588,90.9366,1.7589,204.6734,148.032,463.6411,4.6493,15.5015,190.6977,4.431,1.1342,0.8838,37.6926,2026.4212,63.9642,36.0358,0.2308,0.1136,0.9146,0.3152,37.9211,-1,0,0
198,002624,完美世界,0.12,1.14,19.57,150470.87,18.97,57.3605,7929.815,6.0316,4.4974,80.0462,3.2644,110.2806,0.7392,487.01300000000003,28.7552,28.8368,3.9512,1.7635,18.75,10.3941,1.9646,1.6625,62.0551,967.3968,52.9803,47.0197,0.1014,0.0485,0.551,0.1032,15.4232,-1,0,0
199,002625,光启技术,0.05,0.07,1.17,8085.57,21.29,32.9538,379.6806,0.2995,1.8107,198.8181,4.9268,73.0697,0.0988,3643.7247,-9.9534,21.008000000000003,1148.5945,1021.2122,-68.1818,1148.7704,14.1657,14.0338,1216.2532,-1.506,90.71600000000001,9.283999999999999,0.0253,0.0012,0.1205,0.0125,1.828,1,0,0
201,002773,康弘药业,0.05,0.96,20.34,64419.9,23.11,90.3358,2786.4970000000003,4.1284,23.9977,15.0014,1.6774,214.6179,0.879,409.5563,9.7032,28.809,21.9824,22.0322,29.3626,21.9824,5.9787,5.6785,535.3591,-2419.2271,77.264,22.736,0.2752,0.1672,1.1904,0.7355,132.3669,-1,-1,0
202,002925,盈趣科技,0.04,2.59,80.97,98386.25,30.11,48.9369,3267.1957,8.5942,5.1706,69.6244,6.1186,58.836999999999996,1.925,187.013,98.2027,120.32700000000001,98.0119,85.5492,121.3675,98.8122,2.6469,2.273,74.641,1723.9865,65.4613,34.5387,0.2885,0.3666,0.9599,1.0616,112.9197,-1,-1,-1
203,300003,乐普医疗,0.24,0.51,15.17,89908.53,19.81,67.2316,4537.6427,2.5468,3.1827,113.1115,2.3297,154.5263,0.9756,369.0037,30.8527,33.0748,16.8613,34.6328,29.1337,16.1764,1.6037,1.3854,76.8558,1214.9723,54.9402,45.0598,0.2012,0.0714,0.9189,0.1584,28.3872,-1,-1,-1
204,300017,网宿科技,0.12,0.34,10.91,83040.29,15.45,35.3907,5372.6711,2.228,4.7187,76.2922,25.3778,14.1856,0.9287,387.6386,20.8285,-34.5622,8.378,18.4709,-78.9799,8.6238,2.3686,2.3571,128.738,-1581.3729999999998,77.6864,22.3136,0.1189,0.0622,0.7818,0.2789,33.1391,-1,-1,-1
205,300024,机器人,0.15,0.28,7.48,43237.79,17.61,33.2568,2455.064,1.5735,2.6687,134.8971,0.8355,430.8797,0.4379,822.1055,20.7321,5.7438,6.6664,18.9714,5.2412,6.5591,3.3743,2.1196,72.7816,-2897.2096,71.367,28.633000000000003,-0.1572,-0.0458,-0.8702,-0.16,-21.7788,-1,-1,0
207,300059,东方财富,0.47,0.15,4.86,63690.16,57.25,64.3097,1112.3371,0.2593,3.6706,98.0766,2.8646,125.67200000000001,0.0384,9375.0,-7.5403,-10.8908,14.4123,55.0617,-27.7319,14.447000000000001,1.6712,1.6647,55.5561,-2002.1919,35.0831,64.9169,-5.5378,-0.1472,-9.7031,-0.2268,-28.3289,-1,-1,0
208,300122,智飞生物,0.2,0.27,15.85,43227.54,32.19,78.544,1342.5686,0.8391,2.6842,134.1182,0.7869,457.4914,0.7842,459.0666,201.06,1229.2474,16.5106,51.5388,1250.0,16.5106,2.1373,1.5504,81.735,-4073.5926,71.5442,28.4558,0.1517,0.0496,0.47100000000000003,0.1743,19.0391,-1,-1,0
209,300136,信维通信,0.18,0.91,37.66,88904.61,25.88,36.4284,3434.7678,3.4947,2.8277,127.3119,7.834,45.9535,1.2039,299.0282,42.3486,70.0603,42.4829,68.6015,63.5921,43.4905,1.4995,1.3589,49.7832,1519.3181,52.1325,47.8675,0.2145,0.1382,0.8274,0.2887,30.2142,1,1,1
210,300144,宋城演艺,0.17,0.73,15.6,106761.21,35.3,63.1916,3023.8312,2.0816,115.7743,3.1095,251.5263,1.4313,1.4591,246.7274,14.3559,16.6735,13.9654,15.6904,17.7419,14.462,1.8316,1.8283,115.9859,11331.8721,85.4146,14.5854,0.5834,0.2015,1.6497,1.3815,140.1227,-1,0,0
211,300251,光线传媒,0.07,0.28,10.98,81515.69,44.21,41.2765,1843.4528,0.6283,3.3443,107.6458,1.3379,269.0784,0.5151,698.8934,6.4772,10.9817,18.7902,29.8918,12.0,19.6796,2.8341,1.9947,140.319,2567.5611,71.1413,28.8587,-0.0173,-0.0027,-0.0388,-0.0093,-2.3245,-1,-1,0
212,300296,利亚德,0.13,0.74,24.06,120978.15,18.69,40.4849,6470.8033,3.9724,3.4074,105.6524,1.5069,238.9011,0.9789,367.7597,47.8049,81.7416,26.0808,54.0658,-14.9425,26.1753,1.3898,0.8514,26.1216,626.0345,44.5129,55.4871,0.1204,0.0615,0.6433,0.1109,13.3776,-1,-1,0
213,300408,三环集团,0.19,0.63,19.58,108344.34,34.61,48.5999,3129.8016,1.8116,3.0757,117.0465,3.0731,117.1456,0.6635,542.5772,8.3911,2.4531,15.3903,26.3615,1.6129,15.3219,6.0736,5.276,61.4897,7145.8328,79.8385,20.1615,0.3122,0.1314,0.8999,0.6519,121.7165,-1,-1,0
