date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60,AR,BR,BIAS0,BIAS01,BIAS02,BIAS1,BIAS11,BIAS12,UL0,ML0,LL0,UL1,ML1,LL1,DMA,AMA,DPO,EMA20,EMA30,KValue,DValue,JValue,PSY,WVAD,WR,MR,SR,WS,MS,SS
2019-11-06,27.05,26.91,27.24,26.36,60043.0,26.924,27.347760911889107,27.347760911889107,29.231113781661072,31.317633365708677,34.98511307250847,85.87223587223683,107.74331165994198,-2.3113037197544135,-4.035476718403557,-41.8899202463323,-2.076421563842256,-9.589984720467228,-41.28984352171558,28.24580133571908,27.0195,25.793198664280922,72.88319566904752,29.231113781661072,9.661269900913318,-10.284200000000002,-11.530319999999998,-0.2170000000000023,29.231113781661072,31.317633365708677,45.97912632653362,45.75128737154104,45.2956094615559,50.0,-28.691354185863055,27.499999999999993,28.424999999999997,29.35,25.999999999999993,25.424999999999997,24.85
2019-11-07,29.26,27.27,29.66,27.07,200872.95,27.375999999999998,27.695440746091087,27.695440746091087,29.2338648500743,31.184882825985536,34.79740444718032,107.05256154357991,107.68125240600543,5.841924398625436,9.807355516637491,-37.39223465430391,6.611611550067309,-0.8527963541189312,-36.45856969507297,28.67196612982106,27.1365,25.60103387017894,68.40126678027245,29.2338648500743,11.33705921159688,-9.842799999999993,-11.215319999999998,1.8510000000000026,29.2338648500743,31.184882825985536,60.07601579149163,50.5261968448579,31.426558951590437,50.0,138.92643895559016,31.275,32.1225,32.97,27.965,25.5025,23.040000000000003
2019-11-08,29.22,29.6,29.74,29.05,99004.09,27.836000000000002,27.97263333771089,27.97263333771089,29.232544388162463,31.05811619205099,34.61453872760064,108.08151791988738,108.35664604881559,5.97835942694794,9.329009728111759,-36.61777066782355,7.051409105728062,0.13485773223421205,-34.30282785346627,29.04155372378057,27.270500000000006,25.49944627621944,64.0905725599147,29.232544388162463,13.06315095653851,-9.469200000000004,-10.896059999999999,1.8019999999999996,29.232544388162463,31.05811619205099,68.41743937197818,56.48994435389798,32.634954317737595,50.0,103.60578069472004,32.26499999999999,32.69749999999999,33.129999999999995,28.874999999999996,25.9175,22.960000000000004
2019-11-11,28.41,28.96,29.67,28.32,68692.18,28.168,28.05215454903618,28.05215454903618,29.154206827385085,30.887269986112216,34.411111228335045,116.62971175166119,108.42140365278068,3.8124238733252254,5.796921549155901,-37.52668566349951,4.681376899902571,-2.020740724066832,-33.98466633710155,29.18579997892552,27.375999999999998,25.566200021074476,60.08225485486234,29.154206827385085,14.71587594573819,-9.211800000000004,-10.5905,0.9969999999999999,29.154206827385085,30.887269986112216,65.86728013195793,59.615722946584626,47.11260857583801,41.66666666666667,121.74074573175696,31.055,32.0925,33.129999999999995,27.665000000000003,25.312500000000004,22.960000000000004
2019-11-12,28.42,28.66,28.68,27.9,63882.13,28.472,28.11903554012051,28.11903554012051,29.084282367634124,30.728091277330783,34.21468135199619,112.71896420411056,108.28684035419978,4.8966535433070915,5.30476131661827,-36.63027825521437,4.982921385051562,-1.7485750743492137,-31.921979510725297,29.292896796873567,27.486499999999996,25.680103203126425,56.412071995964894,29.084282367634124,16.159570156959393,-8.898200000000006,-10.290600000000001,1.0020000000000024,29.084282367634124,30.728091277330783,64.26550238885693,61.16564942734206,54.96594350431232,41.66666666666667,122.98753536138668,30.35,31.735,33.12,26.970000000000002,24.975,22.98
2019-11-13,28.99,28.47,29.4,28.16,102319.74,28.860000000000003,28.27739271464405,28.27739271464405,29.075303094526113,30.61595635621267,34.043380324061886,121.55172413793017,108.21469648562305,7.536321483771251,6.980749123562304,-34.31268882175226,7.112309414737271,0.7933378637627436,-28.472245844320405,29.488310488676746,27.6505,25.812689511323256,53.07983167421275,29.075303094526113,17.705939797480646,-8.459600000000002,-9.98388,1.6189999999999998,29.075303094526113,30.61595635621267,68.8023703241347,63.71122305960627,53.52892853054942,41.66666666666667,138.9137814259027,31.409999999999997,32.265,33.12,28.029999999999998,25.505,22.98
2019-11-14,30.71,28.68,31.07,28.68,139546.7,29.15,28.719684948345133,28.719684948345133,29.230988514095056,30.62202368806992,33.93408916589593,144.67213114754026,108.39314449183937,12.435928728337814,13.03947731664673,-29.02840635532015,10.897739569994725,7.713673577388399,-22.03871052282002,29.936332383251298,27.840500000000002,25.744667616748707,50.16656331036206,29.230988514095056,19.014848973551018,-7.873200000000011,-9.64234,3.3610000000000007,29.230988514095056,30.62202368806992,76.65920733473386,68.02721781798213,50.76323878447866,50.0,289.707364599197,33.515,34.292500000000004,35.07,29.515,26.2925,23.07
2019-11-15,31.39,30.65,32.97,30.23,173470.28,29.584000000000003,29.205196775918743,29.205196775918743,29.436608655609813,30.671570546904118,33.85067640635835,158.87622149837162,108.83824204992094,13.389524382901868,15.263157894736839,-25.971346029125638,11.594212286649679,11.00366483007744,-18.12052684508959,30.61511910267408,28.061500000000002,25.507880897325926,47.50333673942129,29.436608655609813,20.17508389840483,-7.214400000000005,-9.25928,3.8509999999999955,29.436608655609813,30.671570546904118,76.48378172768764,70.84607245455064,59.570653908276626,58.333333333333336,355.2049059331554,35.09,36.565,38.04,30.020000000000003,26.425,22.83
2019-11-18,31.9,31.21,32.6,30.5,141284.56,30.282,29.695160998478972,29.695160998478972,29.671217355075544,30.75082406000708,33.7867198028712,178.25342465753272,109.2811623757329,14.207291604510996,16.70375903173684,-23.090832379000663,13.084193299984895,13.647013480359488,-14.5383635159783,31.31778068764989,28.321500000000004,25.325219312350118,45.06150022669663,29.671217355075544,21.384689874193676,-6.463600000000007,-8.827020000000005,4.236999999999998,29.671217355075544,30.75082406000708,78.93480715380585,73.54231735430237,62.757337755295396,66.66666666666666,357.20059813448745,35.550000000000004,36.795,38.04,30.480000000000004,26.655,22.83
2019-11-19,33.51,31.6,34.15,31.5,195613.28,31.3,30.388768089664612,30.388768089664612,30.036815702211207,30.928835410974365,33.777647022449194,198.7719298245615,109.3415397136245,18.787663948954275,22.653652585023618,-17.267770805472672,18.538333460781196,20.252392339568715,-8.175062825559454,32.28695289036506,28.628500000000003,24.97004710963495,42.904465537640384,30.036815702211207,22.40780169649846,-5.532800000000002,-8.324980000000005,5.859999999999999,30.036815702211207,30.928835410974365,83.22149536749448,76.7687100253664,63.86313934111024,75.0,541.904138062355,38.43500000000001,39.417500000000004,40.4,32.18500000000001,26.917500000000004,21.65
